,ISO,thisvalue
0,DZA,0.6105712652
1,LIE,68.7951198383
2,EGY,7.5082361589
3,BGD,0.8505212163
4,QAT,18.3189336935
5,NAM,4.8612811544
6,BGR,38.2962416504
7,BOL,9.7239794026
8,GHA,16.6981511876
9,CCK,50.9237421000
10,PAK,0.6361792234
11,PAN,66.7065000000
12,JOR,94.0799138481
13,LBR,0.7172741935
14,LBY,48.3773308612
15,MYS,16.1928632116
16,IOT,66.7065000000
17,PRI,66.7065000000
18,MYT,74.8838123035
19,PRT,74.8838123035
20,KHM,0.0163456261
21,PRY,0.0119717337
22,HKG,8.6003545528
23,SAU,17.7895859724
24,LBN,0.0440903282
25,SVN,74.8838123035
26,BFA,0.1141596359
27,SVK,74.8838123035
28,MRT,0.1867635246
29,HRV,9.9808499968
30,CHL,0.1009175492
31,CHN,10.0081756217
32,JAM,0.5229636175
33,GIB,86.5116598500
34,DJI,0.3747135153
35,GIN,0.0090754193
36,FIN,74.8838123035
37,URY,2.3479936768
38,THA,1.9249034430
39,SYC,5.0658316936
40,NPL,0.6269407805
41,CXR,50.9237421000
42,MAR,6.8641608870
43,YEM,0.2665594406
44,PHL,1.3863683598
45,ZAF,4.8612811544
46,KIR,50.9237421000
47,BVT,8.2190844068
48,MNE,74.8838123035
49,NIC,2.3041968912
50,KAZ,0.1974324473
51,COK,48.3422005500
52,TCA,66.7065000000
53,NIU,48.3422005500
54,DMA,24.7061106748
55,BEN,0.1141596359
56,NGA,0.2116577233
57,BEL,74.8838123035
58,ZWE,0.1843230174
59,LKA,0.4562431091
60,FLK,86.5116598500
61,GBR,86.5116598500
62,MWI,0.0924898964
63,CRI,0.1223186999
64,CMR,0.1141596359
65,MNP,66.7065000000
66,LSO,4.8612811544
67,TKL,48.3422005500
68,TKM,19.0590000000
69,TTO,9.9623149287
70,CPV,0.6790848010
71,COM,0.1522128479
72,BMU,66.7065000000
73,TCD,0.1141596359
74,GEO,28.8647771527
75,ROU,16.8280776993
76,MNG,0.0296737100
77,MHL,66.7065000000
78,BLZ,33.4322543464
79,NFK,50.9237421000
80,AFG,0.9992659781
81,BDI,0.0398247761
82,BLR,0.0033319930
83,GRD,24.7061106748
84,GRC,74.8838123035
85,GRL,10.0440419189
86,SHN,86.5116598500
87,AND,74.8838123035
88,RWA,0.0828054467
89,TJK,8.4740023766
90,HTI,1.0196602165
91,BRB,33.3532500000
92,LCA,24.7061106748
93,IND,1.0000000000
94,IRL,74.8838123035
95,BTN,1.0000000000
96,NOR,8.2190844068
97,ATF,74.8838123035
98,ATG,24.7061106748
99,FJI,32.5691477675
100,HND,2.9450779666
101,MUS,1.8824807773
102,DOM,1.4453050541
103,LUX,74.8838123035
104,ISR,17.7342985665
105,SMR,74.8838123035
106,PER,19.8738269030
107,IDN,0.0050979366
108,VUT,0.6087741920
109,SUR,8.6631820328
110,COG,0.1141596359
111,ISL,0.5825895197
112,GAB,0.1141596359
113,ETH,2.9966981132
114,NER,0.1141596359
115,COL,0.0228451612
116,GUF,74.8838123035
117,BWA,6.2237164389
118,GGY,86.5116598500
119,ATA,24.7061106748
120,SEN,0.1141596359
121,NZL,48.3422005500
122,MDV,4.3400455433
123,ASM,66.7065000000
124,SPM,74.8838123035
125,SRB,0.6078013116
126,FRA,74.8838123035
127,MOZ,0.8607290323
128,ZMB,6.6392979450
129,SWE,7.8086882214
130,JEY,86.5116598500
131,FRO,10.0440419189
132,DNK,10.0440419189
133,DEU,74.8838123035
134,NLD,74.8838123035
135,AUS,50.9237421000
136,CUB,2.5172264151
137,VEN,6.7043401178
138,PNG,21.0463795551
139,PLW,66.7065000000
140,KEN,0.6590635553
141,TUR,22.4866003708
142,ALB,0.5461789508
143,OMN,173.2816319494
144,TUV,50.9237421000
145,MMR,0.0537787803
146,BRN,49.0813773821
147,TUN,30.2697000124
148,HUN,0.2448304338
149,RUS,1.0348494650
150,MEX,3.3711433986
151,BRA,20.5586032607
152,GNQ,0.1141596359
153,USA,66.7065000000
154,AGO,0.4041201842
155,WSM,26.0155340458
156,MSR,24.7061106748
157,SWZ,4.8612811544
158,TON,29.9979129100
159,CAN,50.6099920337
160,UKR,2.5684310545
161,AIA,24.7061106748
162,GUY,0.3213478907
163,CHE,68.7951198383
164,CYP,74.8838123035
165,SGP,49.0813773821
166,SOM,0.1153889037
167,UZB,0.0221800499
168,CAF,0.1141596359
169,AZE,40.9568976888
170,POL,17.4116127011
171,KWT,221.2861902119
172,GMB,1.5629519728
173,ERI,6.3712051886
174,TGO,0.1141596359
175,CYM,81.9480835424
176,EST,74.8838123035
177,ESP,74.8838123035
178,IRQ,0.0564352792
179,SLV,7.6236000000
180,MLI,0.1141596359
181,STP,0.0030571265
182,MLT,74.8838123035
183,ABW,37.2662011173
184,SLE,0.0117028947
185,IMN,86.5116598500
186,SDN,10.7331456154
187,SLB,8.5945826602
188,ESH,6.8641608870
189,MCO,74.8838123035
190,ITA,74.8838123035
191,JPN,0.6602316029
192,KGZ,0.9736895501
193,UGA,0.0197137719
194,ARE,18.1615610528
195,ARG,4.4013262074
196,BHS,66.7065000000
197,BHR,176.8135049834
198,ARM,0.1409064025
199,NRU,50.9237421000
200,AUT,74.8838123035
